iter	MultiClass
0	1.066304251
1	1.035149126
2	1.004652174
3	0.9827245554
4	0.9549297139
5	0.9267617733
6	0.9024306294
7	0.8825978989
8	0.8561100499
9	0.8374654811
10	0.8172719636
11	0.7956737307
12	0.7775129034
13	0.7633606908
14	0.7496335618
15	0.7354644747
16	0.7209015021
17	0.7086350362
18	0.6939853186
19	0.6779419157
20	0.663205104
21	0.6496700987
22	0.6376486016
23	0.625234876
24	0.6095921518
25	0.5971833649
26	0.5847000496
27	0.5726453724
28	0.5626702506
29	0.5507558253
30	0.5373455923
31	0.527355657
32	0.5188103496
33	0.5102110042
34	0.5015213386
35	0.4943664979
36	0.4863371565
37	0.4781544752
38	0.4697718409
39	0.4626699109
40	0.4555223145
41	0.4487646399
42	0.4418616984
43	0.4354339668
44	0.4291771848
45	0.4236170655
46	0.4178099672
47	0.4110669744
48	0.4056202587
49	0.3988466543
50	0.3930593106
51	0.3883932451
52	0.3818561628
53	0.3762961206
54	0.3705068533
55	0.3651324204
56	0.359979171
57	0.3541034617
58	0.3490997344
59	0.3441414798
60	0.3388654707
61	0.335084799
62	0.330487485
63	0.3268869399
64	0.3225625719
65	0.317191313
66	0.3128008946
67	0.3084588534
68	0.3050004687
69	0.3019298864
70	0.2981398798
71	0.2944100656
72	0.2897880375
73	0.2863731083
74	0.2836412469
75	0.279998872
76	0.2761280079
77	0.2724735827
78	0.268974053
79	0.2649200937
80	0.2620398754
81	0.2582312758
82	0.2540391438
83	0.2504678847
84	0.2475382891
85	0.2448366976
86	0.2421687215
87	0.2384420446
88	0.2352403836
89	0.2325955249
90	0.2299024166
91	0.2272547689
92	0.2241130472
93	0.2216242131
94	0.2188077083
95	0.2156474829
96	0.2125055361
97	0.2100889398
98	0.2075577586
99	0.204403081
100	0.2010821973
101	0.1981339259
102	0.1957377166
103	0.1931751128
104	0.1907846093
105	0.188718914
106	0.1862171977
107	0.1832653341
108	0.1803337634
109	0.1778536889
110	0.1754527509
111	0.1734810233
112	0.1715289899
113	0.169807572
114	0.1679030223
115	0.1657927503
116	0.1641076996
117	0.161821724
118	0.159914108
119	0.158218762
120	0.1568095147
121	0.1548073897
122	0.1529190567
123	0.1507500303
124	0.1491643205
125	0.1475091949
126	0.1457313053
127	0.1436569472
128	0.1421798507
129	0.140552289
130	0.1385641027
131	0.1370690724
132	0.1355585309
133	0.1338348828
134	0.1321566212
135	0.1310641731
136	0.1298309494
137	0.1283144436
138	0.1268380746
139	0.1256357944
140	0.1241503793
141	0.1229271693
142	0.1217217397
143	0.1205908137
144	0.1194641367
145	0.1181836803
146	0.1170867247
147	0.1158998255
148	0.1146340047
149	0.1135234736
150	0.1125524086
151	0.1115525113
152	0.1102959817
153	0.1092866933
154	0.1080910801
155	0.1071077236
156	0.105926105
157	0.1049972984
158	0.1037792696
159	0.1028471028
160	0.1019771272
161	0.1009070776
162	0.1002166156
163	0.09917528046
164	0.09792964263
165	0.09693108622
166	0.09582060122
167	0.09495059344
168	0.09430503545
169	0.09329702202
170	0.09205215966
171	0.091220483
172	0.09047232354
173	0.08941713833
174	0.08883600387
175	0.08807211757
176	0.08748042715
177	0.08686155643
178	0.08604548752
179	0.08527777626
180	0.08449224174
181	0.0837132692
182	0.08286179425
183	0.08230119623
184	0.08168006212
185	0.08115771806
186	0.08045787055
187	0.07965693229
188	0.07895400338
189	0.07836331359
190	0.07767801856
191	0.07702149083
192	0.07640800119
193	0.07590522206
194	0.07508097592
195	0.07442581023
196	0.07396673767
197	0.07313646937
198	0.07238001853
199	0.07166081542
200	0.07116760551
201	0.0705502356
202	0.0699850646
203	0.0693574329
204	0.06890905208
205	0.06849394541
206	0.06806926347
207	0.06766915434
208	0.06701718033
209	0.06633424268
210	0.06590403755
211	0.06550300542
212	0.06523707024
213	0.06478548254
214	0.06430804234
215	0.06391784721
216	0.06341070032
217	0.06297709202
218	0.06258709103
219	0.06203457924
220	0.06170622722
221	0.06129239762
222	0.06081625003
223	0.06035260359
224	0.06006028995
225	0.05964614729
226	0.05927508763
227	0.05886431006
228	0.0584599666
229	0.05808540829
230	0.05773019555
231	0.05739507974
232	0.0570109906
233	0.0566859362
234	0.05640312362
235	0.05605843089
236	0.05576103156
237	0.05539791948
238	0.05512374203
239	0.05474641897
240	0.0544149927
241	0.05402150986
242	0.05364603234
243	0.05341081061
244	0.05309256648
245	0.05280361957
246	0.0524984169
247	0.05219348962
248	0.05184241481
249	0.05157094721
250	0.05134557915
251	0.05089069101
252	0.0505600313
253	0.05031408663
254	0.05004264759
255	0.04981289576
256	0.04955306591
257	0.04935053027
258	0.0490931461
259	0.04876680426
260	0.04847086654
261	0.0481412886
262	0.04788739806
263	0.04764038391
264	0.04736376046
265	0.04713990483
266	0.04686304021
267	0.04665162036
268	0.04643099841
269	0.04610272505
270	0.04580877478
271	0.04560739262
272	0.04541042155
273	0.04514622073
274	0.04493013269
275	0.04465886324
276	0.04442097792
277	0.04415302388
278	0.04388118665
279	0.04363432665
280	0.04340836132
281	0.04314959284
282	0.0428628815
283	0.04267905443
284	0.04249121024
285	0.04208942243
286	0.04188802904
287	0.04168554274
288	0.04152305204
289	0.04130583008
290	0.04108243885
291	0.04084225872
292	0.04067749532
293	0.04039249407
294	0.04019458886
295	0.0400513747
296	0.03983562299
297	0.03958883142
298	0.03946322674
299	0.03932281457
300	0.03915532215
301	0.03889540772
302	0.0387328006
303	0.03857294455
304	0.03844111471
305	0.03821343811
306	0.03807077388
307	0.03787771092
308	0.03771930816
309	0.03754767523
310	0.03730401343
311	0.03712410913
312	0.03696073225
313	0.03681542826
314	0.03667379713
315	0.03653331028
316	0.03636129508
317	0.03616192898
318	0.03599301069
319	0.0357604802
320	0.03565314394
321	0.03551604601
322	0.03538297215
323	0.03524517679
324	0.03498268424
325	0.03481085224
326	0.03467756866
327	0.03454013473
328	0.03435568144
329	0.03421687876
330	0.03408475359
331	0.03395409372
332	0.03382878757
333	0.03370783494
334	0.03355328618
335	0.03340308386
336	0.03328794075
337	0.03317209492
338	0.03302508592
339	0.0329127109
340	0.03275558441
341	0.03264899604
342	0.03253083233
343	0.03235799797
344	0.03225857327
345	0.03216011121
346	0.03205309879
347	0.03192179893
348	0.03180871664
349	0.03166599983
350	0.03153918599
351	0.03138104098
352	0.03126719515
353	0.03116531015
354	0.03105427448
355	0.03091850218
356	0.03080239297
357	0.03065942677
358	0.0305430558
359	0.0304344856
360	0.03032753819
361	0.03023304236
362	0.03009627466
363	0.02996781533
364	0.02987927367
365	0.02977089492
366	0.02966844026
367	0.02952478802
368	0.02938039977
369	0.02926846574
370	0.02914374554
371	0.02904129968
372	0.02896755636
373	0.02888393868
374	0.0287643312
375	0.02864558275
376	0.02856758828
377	0.028439197
378	0.02827429343
379	0.02814883081
380	0.02801999722
381	0.02791444667
382	0.02775470756
383	0.02768040533
384	0.02759979378
385	0.02752956399
386	0.02741981807
387	0.02733508146
388	0.02726107276
389	0.0271637916
390	0.02708258493
391	0.0269666574
392	0.02688803036
393	0.02681678276
394	0.0266833964
395	0.02657804283
396	0.02649213333
397	0.0264138689
398	0.02633839284
399	0.02624853721
400	0.02617130004
401	0.02601871592
402	0.02592882477
403	0.02585058349
404	0.02570462779
405	0.02561854186
406	0.02549024774
407	0.02542275884
408	0.02532420151
409	0.02522980168
410	0.0251590506
411	0.02508288759
412	0.02501131119
413	0.02492707473
414	0.02484944179
415	0.02474171045
416	0.02466359856
417	0.02454479141
418	0.02444934821
419	0.02433398384
420	0.02424068234
421	0.02414378965
422	0.02408018214
423	0.02396517256
424	0.02384213189
425	0.02377147416
426	0.02368114044
427	0.02361849204
428	0.02356142967
429	0.02350237641
430	0.02344783361
431	0.02338087775
432	0.02331968203
433	0.02326354219
434	0.02319302602
435	0.02311068693
436	0.02299341909
437	0.0229210269
438	0.02284778332
439	0.02278621901
440	0.02273888773
441	0.02268254078
442	0.02259485295
443	0.02252452647
444	0.02245481698
445	0.02240024976
446	0.02233882943
447	0.0222741322
448	0.02221329125
449	0.02216830004
450	0.02211103563
451	0.02205976106
452	0.02200242132
453	0.02194184228
454	0.02185416013
455	0.02178507973
456	0.02172555052
457	0.02165522051
458	0.02158644209
459	0.02150054612
460	0.02144795816
461	0.02137392115
462	0.02132848011
463	0.02126786991
464	0.02120808301
465	0.02114838131
466	0.02107921694
467	0.02100265943
468	0.02096127085
469	0.02090999882
470	0.0208585597
471	0.02077640979
472	0.02070980988
473	0.02064854363
474	0.02058828117
475	0.02052579002
476	0.02048370998
477	0.02043379567
478	0.02038071474
479	0.0203191562
480	0.02025002976
481	0.02017824756
482	0.02012304198
483	0.02006978531
484	0.02002991059
485	0.01997660957
486	0.01992854318
487	0.01987725664
488	0.0198422009
489	0.01978689751
490	0.01974008076
491	0.01968564382
492	0.01963866516
493	0.01956533594
494	0.01952168808
495	0.01947137212
496	0.01940477708
497	0.01935905272
498	0.01928477768
499	0.01923416101
500	0.01918457593
501	0.01913592763
502	0.01909260426
503	0.01903732052
504	0.01898810052
505	0.01892976746
506	0.01885580029
507	0.01879902963
508	0.01875281247
509	0.0187006547
510	0.01866097752
511	0.01861429959
512	0.01856396704
513	0.01851780245
514	0.01846809558
515	0.0184195022
516	0.01835635891
517	0.01831755539
518	0.01827382827
519	0.0182299461
520	0.01819218874
521	0.01815207853
522	0.0180802753
523	0.0180360373
524	0.01799874238
525	0.01795226871
526	0.01790355498
527	0.0178430868
528	0.01779249551
529	0.01774764332
530	0.01768955139
531	0.01764980239
532	0.01761859776
533	0.01753655771
534	0.01749202941
535	0.01744897418
536	0.01740535303
537	0.01736969286
538	0.01732852851
539	0.01729942413
540	0.01724259771
541	0.01721235818
542	0.01717250724
543	0.01712963823
544	0.01709229347
545	0.01705072138
546	0.01701795705
547	0.01695423265
548	0.01692619923
549	0.01688120017
550	0.01684268581
551	0.01679781506
552	0.0167540285
553	0.0167211006
554	0.01669079376
555	0.01665017496
556	0.01661404634
557	0.01656748745
558	0.01652358516
559	0.0164769309
560	0.01641200906
561	0.01638464608
562	0.01634884848
563	0.01631838771
564	0.0162829279
565	0.01624693191
566	0.01621228346
567	0.01617423753
568	0.01612224001
569	0.01608979626
570	0.01604372155
571	0.01601684072
572	0.01597921807
573	0.01593481293
574	0.01589591345
575	0.0158667607
576	0.01583375433
577	0.01578736784
578	0.01576652945
