iter	Passed	Remaining
0	58	58540
1	104	52104
2	159	53143
3	208	51927
4	259	51561
5	306	50836
6	355	50449
7	406	50428
8	456	50223
9	502	49747
10	547	49260
11	596	49126
12	645	49015
13	699	49285
14	753	49474
15	804	49480
16	857	49575
17	910	49687
18	969	50040
19	1023	50128
20	1080	50386
21	1142	50772
22	1196	50841
23	1248	50767
24	1311	51165
25	1359	50920
26	1408	50748
27	1451	50385
28	1495	50062
29	1542	49865
30	1590	49727
31	1643	49723
32	1691	49576
33	1740	49459
34	1787	49270
35	1839	49247
36	1889	49168
37	1934	48982
38	1985	48929
39	2035	48851
40	2087	48819
41	2137	48756
42	2185	48649
43	2233	48518
44	2282	48448
45	2332	48376
46	2382	48303
47	2430	48208
48	2476	48072
49	2525	47992
50	2575	47928
51	2624	47849
52	2672	47745
53	2723	47703
54	2777	47723
55	2836	47809
56	2887	47773
57	2940	47765
58	2991	47718
59	3046	47724
60	3093	47620
61	3137	47461
62	3179	47295
63	3228	47221
64	3279	47171
65	3331	47147
66	3382	47096
67	3432	47049
68	3484	47016
69	3532	46925
70	3581	46860
71	3630	46792
72	3678	46715
73	3723	46593
74	3769	46488
75	3817	46418
76	3865	46332
77	3913	46254
78	3964	46218
79	4013	46152
80	4061	46077
81	4103	45939
82	4150	45860
83	4200	45802
84	4247	45720
85	4296	45657
86	4345	45598
87	4392	45521
88	4442	45473
89	4488	45381
90	4536	45311
91	4586	45269
92	4635	45204
93	4683	45145
94	4733	45088
95	4780	45018
96	4826	44934
97	4875	44874
98	4922	44802
99	4969	44728
100	5013	44621
101	5061	44565
102	5111	44513
103	5160	44460
104	5211	44418
105	5260	44367
106	5308	44304
107	5360	44273
108	5411	44236
109	5462	44195
110	5511	44140
111	5557	44061
112	5607	44015
113	5655	43951
114	5698	43850
115	5742	43760
116	5786	43672
117	5835	43620
118	5880	43538
119	5928	43474
120	5972	43385
121	6016	43296
122	6061	43219
123	6107	43146
124	6152	43069
125	6198	42996
126	6246	42937
127	6293	42874
128	6339	42802
129	6385	42735
130	6432	42670
131	6479	42607
132	6527	42552
133	6579	42520
134	6626	42461
135	6670	42374
136	6722	42347
137	6770	42290
138	6818	42232
139	6862	42157
140	6909	42096
141	6954	42021
142	7001	41960
143	7052	41921
144	7105	41900
145	7153	41842
146	7202	41795
147	7255	41766
148	7302	41709
149	7352	41661
150	7399	41605
151	7448	41554
152	7496	41501
153	7541	41427
154	7589	41374
155	7634	41303
156	7687	41277
157	7735	41223
158	7779	41150
159	7826	41091
160	7874	41036
161	7923	40987
162	7970	40929
163	8016	40862
164	8064	40812
165	8112	40757
166	8162	40713
167	8207	40648
168	8254	40586
169	8296	40505
170	8339	40428
171	8384	40363
172	8433	40314
173	8478	40249
174	8521	40173
175	8565	40103
176	8613	40048
177	8660	39992
178	8707	39937
179	8753	39878
180	8797	39807
181	8842	39742
182	8887	39679
183	8935	39629
184	8984	39579
185	9028	39512
186	9074	39450
187	9117	39380
188	9160	39307
189	9203	39236
190	9249	39177
191	9293	39109
192	9342	39062
193	9386	38996
194	9430	38932
195	9476	38873
196	9522	38817
197	9570	38763
198	9613	38696
199	9660	38640
200	9703	38570
201	9748	38509
202	9795	38459
203	9841	38400
204	9884	38330
205	9926	38260
206	9971	38200
207	10015	38136
208	10057	38064
209	10101	38001
210	10148	37947
211	10192	37885
212	10239	37831
213	10285	37777
214	10329	37714
215	10375	37660
216	10420	37598
217	10463	37534
218	10508	37474
219	10556	37427
220	10601	37367
221	10645	37307
222	10690	37248
223	10735	37189
224	10778	37126
225	10821	37059
226	10866	37002
227	10910	36941
228	10958	36895
229	11005	36845
230	11051	36790
231	11097	36737
232	11145	36688
233	11190	36633
234	11236	36577
235	11280	36517
236	11327	36466
237	11375	36420
238	11420	36362
239	11468	36315
240	11517	36272
241	11566	36229
242	11608	36164
243	11652	36102
244	11696	36043
245	11738	35978
246	11782	35920
247	11826	35861
248	11873	35810
249	11920	35761
250	11963	35699
251	12011	35654
252	12058	35602
253	12100	35539
254	12144	35480
255	12188	35423
256	12233	35366
257	12280	35318
258	12325	35263
259	12370	35209
260	12414	35149
261	12458	35092
262	12506	35046
263	12549	34987
264	12597	34938
265	12644	34891
266	12688	34834
267	12737	34791
268	12784	34742
269	12828	34684
270	12874	34633
271	12917	34574
272	12966	34530
273	13011	34476
274	13054	34417
275	13097	34358
276	13143	34305
277	13192	34262
278	13240	34215
279	13287	34167
280	13333	34115
281	13382	34072
282	13426	34018
283	13470	33961
284	13516	33909
285	13564	33863
286	13610	33812
287	13655	33760
288	13698	33701
289	13744	33650
290	13790	33600
291	13836	33548
292	13881	33495
293	13923	33434
294	13966	33376
295	14009	33320
296	14054	33266
297	14100	33217
298	14143	33159
299	14186	33102
300	14231	33050
301	14278	33001
302	14327	32957
303	14372	32905
304	14418	32855
305	14467	32810
306	14515	32767
307	14562	32719
308	14607	32666
309	14653	32616
310	14696	32558
311	14742	32510
312	14791	32466
313	14839	32420
314	14884	32368
315	14933	32323
316	14985	32288
317	15036	32248
318	15081	32196
319	15127	32145
320	15175	32099
321	15226	32061
322	15273	32013
323	15318	31960
324	15367	31917
325	15415	31871
326	15464	31827
327	15509	31775
328	15558	31731
329	15613	31699
330	15665	31661
331	15715	31620
332	15765	31578
333	15812	31530
334	15859	31482
335	15911	31443
336	15957	31394
337	16005	31347
338	16051	31297
339	16099	31251
340	16152	31214
341	16201	31170
342	16248	31123
343	16296	31076
344	16342	31026
345	16391	30983
346	16438	30934
347	16483	30882
348	16532	30838
349	16578	30788
350	16626	30742
351	16674	30695
352	16720	30647
353	16767	30598
354	16812	30547
355	16862	30504
356	16911	30460
357	16958	30411
358	17006	30365
359	17050	30312
360	17100	30270
361	17147	30221
362	17194	30173
363	17241	30125
364	17285	30071
365	17331	30022
366	17378	29974
367	17423	29922
368	17467	29870
369	17511	29816
370	17557	29767
371	17603	29716
372	17651	29671
373	17698	29623
374	17743	29573
375	17793	29530
376	17841	29483
377	17887	29434
378	17934	29385
379	17981	29337
380	18032	29296
381	18078	29246
382	18126	29200
383	18172	29151
384	18219	29104
385	18266	29056
386	18316	29012
387	18362	28963
388	18410	28917
389	18458	28871
390	18506	28825
391	18552	28775
392	18601	28730
393	18650	28685
394	18698	28639
395	18747	28594
396	18793	28544
397	18839	28496
398	18886	28448
399	18930	28396
400	18980	28352
401	19027	28304
402	19073	28254
403	19123	28211
404	19170	28164
405	19221	28122
406	19268	28074
407	19315	28027
408	19365	27982
409	19411	27933
410	19463	27892
411	19516	27853
412	19562	27804
413	19611	27758
414	19660	27714
415	19708	27667
416	19753	27617
